PromoCost,PromotionID,stockonHand,Class,Holiday,UOM,PackSize,Week,Location,Margin,priceSell,PriceBuy,DemandImpact,Population
48.4968321,1642,10803,Confection,no,Each,Case-Pkg,Wk23,Store15,0.4,3.546,2.143692236,-27.12830577,21007
3.173160189,1581,17573,Confection,no,Each,Case-Pkg,Wk12,Store1,0.41,3.4397,2.033882241,5.599570297,16530
23.57972697,1757,24327,Confection,no,Each,Case-Pkg,Wk45,Store9,0.38,3.8473,2.379643951,-0.759236703,59006
28.15956707,1748,11243,Confection,no,Each,Case-Pkg,Wk38,Store9,0.36,3.393,2.18275362,-1.851538722,59006
19.69890136,1171,22484,Confection,no,Each,Case-Pkg,Wk45,Store2,0.43,3.6206,2.078629332,-1.182090128,15272
31.86976918,1721,20459,Confection,no,Each,Case-Pkg,Wk44,Store5,0.35,4.2127,2.756086276,9.457364341,13758
8.831664314,1860,27449,Confection,no,Each,Case-Pkg,Wk30,Store9,0.31,3.4796,2.408770876,6.231931789,59006
18.96279037,1242,29132,Confection,no,Each,Case-Pkg,Wk38,Store10,0.46,4.0091,2.183083783,-0.177317797,59211
51.44221604,1182,27394,Confection,no,Each,Case-Pkg,Wk28,Store9,0.37,3.5919,2.256876587,-3.237638956,59006
13.6892397,1648,18794,Confection,yes,Each,Case-Pkg,Wk2,Store14,0.37,4.081,2.57401475,13.18549921,22795
17.46221835,1189,23433,Confection,no,Each,Case-Pkg,Wk45,Store15,0.42,2.683,1.554979559,-4.454267256,21007
30.457491,1127,26863,Confection,no,Each,Case-Pkg,Wk6,Store12,0.28,2.8182,2.015862022,-0.215594682,81129
21.1541873,1892,12867,Confection,no,Each,Case-Pkg,Wk47,Store14,0.09,3.6887,3.353270855,31.984447,22795
98.68475514,1683,30715,Confection,no,Each,Case-Pkg,Wk51,Store3,0.4,4.1656,2.515312534,14.6541777,83641
55.77181388,1737,20032,Confection,no,Each,Case-Pkg,Wk44,Store1,0.34,2.569,1.700398406,15.43508827,16530
10.33784511,1368,15173,Confection,yes,Each,Case-Pkg,Wk19,Store11,0.1,2.5103,1.368917094,6.3734542,20099
91.41922736,1233,27783,Confection,yes,Each,Case-Pkg,Wk19,Store7,0.49,3.4755,1.665423526,5.652001585,59698
44.77059971,1835,15284,Confection,yes,Each,Case-Pkg,Wk20,Store7,0.43,4.1723,2.214168133,-2.949189484,59698
150.3462607,1597,23804,Confection,no,Each,Case-Pkg,Wk51,Store11,0.35,3.9965,2.610886734,11.46455466,20099
26.81709495,1340,18967,Confection,no,Each,Case-Pkg,Wk27,Store15,0.18,2.4702,2.036861578,7.297260707,21007
